iter	Passed	Remaining
401	16742	24906
402	16780	24858
403	16820	24814
404	16860	24769
405	16901	24727
406	16940	24682
407	16976	24632
408	17021	24595
409	17058	24547
410	17093	24497
411	17133	24452
412	17173	24408
413	17210	24360
414	17242	24306
415	17278	24257
416	17315	24208
417	17354	24162
418	17385	24107
419	17421	24058
420	17460	24012
421	17496	23964
422	17535	23920
423	17567	23865
424	17602	23815
425	17635	23762
426	17669	23710
427	17711	23671
428	17746	23620
429	17781	23571
430	17811	23514
431	17840	23457
432	17869	23399
433	17898	23341
434	17934	23294
435	17970	23246
436	18012	23205
437	18053	23164
438	18091	23118
439	18128	23072
440	18165	23026
441	18208	22986
442	18244	22939
443	18281	22892
444	18325	22856
445	18370	22818
446	18406	22771
447	18437	22717
448	18473	22670
449	18508	22621
450	18549	22579
451	18586	22534
452	18618	22482
453	18653	22433
454	18688	22385
455	18726	22340
456	18762	22292
457	18799	22247
458	18836	22201
459	18870	22152
460	18902	22100
461	18944	22060
462	18979	22013
463	19016	21967
464	19051	21919
465	19086	21871
466	19125	21828
467	19160	21780
468	19191	21728
469	19229	21684
470	19267	21640
471	19312	21603
472	19351	21560
473	19395	21523
474	19436	21482
475	19482	21446
476	19520	21402
477	19556	21357
478	19597	21315
479	19633	21269
480	19669	21223
481	19703	21175
482	19738	21128
483	19777	21085
484	19814	21039
485	19847	20991
486	19884	20945
487	19921	20900
488	19953	20851
489	19987	20803
490	20026	20760
491	20060	20712
492	20098	20669
493	20134	20623
494	20170	20578
495	20207	20533
496	20248	20492
497	20283	20446
498	20324	20405
499	20365	20365
500	20404	20323
501	20446	20283
502	20483	20239
503	20521	20195
504	20561	20154
505	20598	20109
506	20638	20068
507	20676	20025
508	20716	19983
509	20762	19947
