iter	Passed	Remaining
398	19517	29398
399	19537	29306
400	19559	29217
401	19594	29147
402	19618	29063
403	19648	28986
404	19669	28897
405	19691	28809
406	19715	28726
407	19750	28657
408	19795	28604
409	19818	28519
410	19863	28465
411	19909	28415
412	19952	28358
413	19974	28273
414	20003	28197
415	20030	28120
416	20055	28038
417	20096	27981
418	20139	27926
419	20159	27839
420	20188	27765
421	20231	27710
422	20272	27653
423	20316	27600
424	20342	27522
425	20370	27447
426	20400	27376
427	20430	27304
428	20451	27221
429	20495	27168
430	20529	27102
431	20572	27049
432	20603	26979
433	20638	26915
434	20681	26862
435	20727	26812
436	20756	26741
437	20781	26665
438	20813	26598
439	20849	26535
440	20880	26467
441	20908	26395
442	20934	26321
443	20955	26241
444	20985	26173
445	21012	26100
446	21057	26051
447	21077	25970
448	21097	25890
449	21117	25810
450	21147	25742
451	21186	25686
452	21206	25606
453	21233	25536
454	21260	25465
455	21285	25393
456	21314	25324
457	21333	25245
458	21359	25175
459	21382	25101
460	21427	25053
461	21447	24975
462	21487	24922
463	21508	24845
464	21529	24770
465	21551	24696
466	21589	24640
467	21614	24570
468	21634	24494
469	21658	24423
470	21680	24349
471	21723	24300
472	21751	24235
473	21805	24197
474	21826	24123
475	21866	24071
476	21892	24004
477	21917	23935
478	21961	23887
479	21984	23816
480	22010	23749
481	22032	23678
482	22072	23626
483	22093	23554
484	22131	23500
485	22169	23446
486	22188	23373
487	22231	23325
488	22273	23275
489	22305	23216
490	22335	23154
491	22354	23081
492	22379	23015
493	22404	22948
494	22423	22876
495	22449	22811
496	22469	22740
497	22512	22693
498	22537	22628
499	22578	22578
500	22600	22510
501	22624	22444
502	22649	22379
503	22697	22336
504	22724	22274
505	22754	22215
506	22781	22152
507	22806	22088
508	22833	22025
509	22859	21963
510	22886	21900
511	22930	21855
512	22969	21805
513	23019	21765
514	23040	21698
515	23071	21640
516	23096	21577
517	23140	21532
518	23161	21465
519	23183	21400
520	23211	21340
521	23239	21280
522	23285	21237
523	23306	21171
524	23350	21127
525	23373	21062
526	23394	20997
527	23436	20951
528	23482	20908
529	23520	20857
530	23544	20795
531	23593	20754
532	23615	20691
533	23646	20635
534	23686	20587
535	23738	20550
536	23791	20513
537	23840	20472
538	23897	20439
539	23919	20376
540	23960	20328
541	24004	20283
542	24030	20224
543	24071	20177
544	24113	20131
545	24144	20076
546	24191	20034
547	24221	19978
548	24255	19925
549	24299	19881
550	24330	19826
551	24365	19774
552	24395	19719
553	24431	19669
554	24464	19616
555	24512	19574
556	24546	19522
557	24578	19469
558	24626	19428
559	24657	19373
560	24697	19326
561	24724	19269
562	24749	19210
563	24770	19149
564	24815	19105
565	24852	19056
566	24877	18998
567	24922	18954
568	24945	18895
569	24965	18833
570	25010	18790
571	25046	18741
572	25071	18683
573	25095	18625
574	25129	18574
575	25171	18529
576	25212	18483
577	25233	18423
578	25274	18377
579	25303	18323
580	25350	18281
581	25380	18228
582	25400	18167
583	25420	18107
584	25458	18060
585	25512	18023
586	25545	17973
587	25579	17923
588	25625	17881
589	25669	17837
590	25727	17804
591	25753	17749
592	25798	17706
593	25836	17659
594	25882	17617
595	25912	17565
596	25941	17511
597	25969	17457
598	26017	17417
599	26047	17364
600	26086	17318
601	26127	17273
602	26167	17227
603	26208	17183
604	26242	17133
605	26273	17081
606	26324	17043
607	26364	16998
608	26410	16956
609	26469	16923
610	26506	16875
611	26527	16818
612	26556	16765
613	26578	16708
614	26624	16667
615	26663	16621
616	26694	16570
617	26737	16527
618	26772	16478
619	26816	16435
620	26861	16393
621	26899	16347
622	26924	16292
623	26959	16244
624	27004	16202
625	27033	16150
626	27080	16109
627	27121	16065
628	27163	16021
629	27207	15979
630	27241	15930
631	27273	15880
632	27305	15831
633	27336	15781
634	27379	15737
635	27410	15687
636	27440	15637
637	27471	15587
638	27501	15537
639	27537	15490
640	27580	15447
641	27615	15399
642	27656	15354
643	27698	15311
644	27740	15268
645	27782	15224
646	27812	15174
647	27843	15124
648	27882	15079
649	27935	15042
650	27978	14999
651	28009	14949
652	28039	14900
653	28065	14847
654	28094	14798
655	28137	14755
656	28184	14714
657	28222	14669
658	28255	14620
659	28294	14576
660	28334	14531
661	28360	14479
662	28385	14428
663	28413	14377
664	28456	14335
665	28503	14294
666	28527	14242
667	28584	14206
668	28630	14165
669	28659	14115
670	28709	14076
671	28767	14041
672	28801	13993
673	28842	13950
674	28872	13901
675	28904	13853
