iter	Logloss
0	0.6594552449
5	0.5430852736
10	0.485796077
15	0.4550214015
20	0.4364145839
25	0.4255507161
30	0.4181541305
35	0.4127476333
40	0.4093013678
45	0.4055330048
50	0.4029521082
55	0.4006203356
60	0.399222702
65	0.3980032989
70	0.3964522216
75	0.395429119
80	0.3943904596
85	0.39321036
90	0.3924113346
95	0.3913679519
100	0.3909467075
105	0.3903848461
110	0.3895276672
115	0.3890480093
120	0.3881019102
125	0.3875216321
130	0.3871948979
135	0.3867860902
140	0.3863550957
145	0.3856864607
150	0.3853072931
155	0.3848535919
160	0.3846737581
165	0.3843055105
170	0.3837977292
175	0.3835817553
180	0.3834130149
185	0.382957017
190	0.3828061733
195	0.382438099
200	0.3823147721
205	0.3822710486
210	0.3821875884
215	0.3821515783
220	0.382014688
225	0.3818501942
230	0.3816882571
235	0.3816498204
240	0.3816457037
245	0.3816015902
250	0.3815761102
255	0.3815758502
260	0.3813512096
265	0.3813412429
270	0.3813189262
275	0.3810164587
280	0.3810082254
285	0.3809716086
290	0.3807214446
295	0.3805000107
300	0.3803863905
305	0.3802633668
310	0.3802387101
315	0.3801386965
320	0.3798279957
325	0.3798096656
330	0.3796645853
335	0.3795913518
340	0.3794619148
345	0.3794571914
350	0.3793310478
355	0.3792999343
360	0.3791494806
365	0.3789978569
370	0.3785292057
375	0.3779729343
380	0.3778555006
385	0.3776455934
390	0.3775532065
395	0.3773061192
400	0.3770776653
405	0.3770464652
410	0.376812768
415	0.3765543273
420	0.3765411539
425	0.3758510688
430	0.3757883654
435	0.3756119116
440	0.3756100049
445	0.3756090516
450	0.375526588
455	0.3754418278
460	0.3753502209
465	0.3752555807
470	0.3752109472
475	0.3752053139
480	0.375134247
485	0.37500273
490	0.374608829
495	0.3746075723
500	0.3745637622
505	0.3744781787
510	0.3744769653
515	0.3741746279
520	0.374097191
525	0.3738881505
530	0.3736613432
535	0.3736337832
540	0.3731536919
545	0.3730859618
550	0.3729477714
555	0.3728176411
560	0.3725851138
565	0.3724775602
570	0.3723419699
575	0.3721480094
580	0.3720717425
585	0.3720435324
590	0.3717003749
595	0.3715691612
600	0.3715409945
605	0.3710420099
610	0.3709113595
615	0.3708186693
620	0.3705380852
625	0.3702298545
630	0.3700738541
635	0.3700160039
640	0.3700029605
645	0.3697750266
650	0.3696159929
655	0.3695373427
660	0.3691892885
665	0.3690641848
670	0.3685740402
675	0.3685425801
680	0.3682423227
685	0.3678587784
690	0.3676912513
695	0.3675384142
700	0.3674059006
705	0.3671402665
710	0.3669673228
715	0.3667633522
720	0.3666967487
725	0.3665420917
730	0.3663624312
735	0.3660567138
740	0.36590171
745	0.3658058131
750	0.3657969731
755	0.3656422727
760	0.3655897526
765	0.3655274824
770	0.3654158988
775	0.3650830546
780	0.3650802379
785	0.3648965908
790	0.364852824
795	0.364847884
800	0.3646864669
805	0.3646212068
810	0.3645506599
815	0.3645477566
820	0.3644058395
825	0.3638785149
830	0.3633058634
835	0.3627963054
840	0.3625867882
845	0.3624905663
850	0.3621459571
855	0.3617396411
860	0.3613046816
865	0.3610343242
870	0.3608939672
875	0.3607354101
880	0.3606952184
885	0.3604276127
890	0.3604194227
895	0.3602265672
900	0.3602212155
905	0.3600983652
910	0.3600842385
915	0.3600161183
920	0.3598703229
925	0.3598611579
930	0.3597404526
935	0.3595796639
940	0.3595485938
945	0.3592504597
950	0.358859202
955	0.3586991716
960	0.3586634432
965	0.3586570082
970	0.3585164995
975	0.3585002711
980	0.3584061292
985	0.358335344
990	0.3583314873
995	0.3581422502
999	0.3580896
